season_end,player,age,gp,toi,teams
2013,Jonas Brodin,19.0,45.0,17:24:35,MIN
2013,Brian Flynn,24.0,26.0,06:21:41,BUF
2013,Cam Fowler,21.0,37.0,12:36:15,ANA
2013,Matt Halischuk,24.0,36.0,07:10:13,NSH
2013,Scott Hartnell,30.0,32.0,08:27:52,PHI
2013,Milan Hejduk,36.0,29.0,06:21:07,COL
2013,Zack Kassian,22.0,39.0,08:45:44,VAN
2013,Tyler Kennedy,26.0,46.0,09:33:13,PIT
2013,Rob Klinkhammer,26.0,22.0,04:29:04,PHX
2013,Lauri Korpikoski,26.0,36.0,10:16:26,PHX
2013,John-Michael Liles,32.0,32.0,10:00:34,TOR
2013,Matt Martin,23.0,48.0,09:31:31,NYI
2013,Marc Methot,27.0,47.0,17:24:43,OTT
2013,Derek Morris,34.0,39.0,13:54:27,PHX
2013,Eric Nystrom,29.0,48.0,11:28:48,DAL
2013,Taylor Pyatt,31.0,48.0,10:28:49,NYR
2013,Luke Schenn,23.0,47.0,17:07:33,PHI
2013,Marc Staal,26.0,21.0,08:33:27,NYR
2013,Bobby Butler,25.0,34.0,06:07:19,2TM
2013,Bobby Butler,25.0,14.0,02:19:40,NJD
2013,Bobby Butler,25.0,20.0,03:47:39,NSH
2013,Sven Baertschi,20.0,20.0,04:28:07,CGY
2013,André Benoit,29.0,33.0,09:01:47,OTT
2013,Alexander Burmistrov,21.0,44.0,11:28:09,WPG
2013,Cal Clutterbuck,25.0,42.0,09:36:51,MIN
2013,Emerson Etem,20.0,38.0,07:15:33,ANA
2013,Michael Frolík,24.0,45.0,09:23:18,CHI
2013,Ryan Garbutt,27.0,36.0,05:57:11,DAL
2013,Nathan Gerbe,25.0,42.0,08:45:10,BUF
2013,Travis Hamonic,22.0,48.0,18:14:35,NYI
2013,Jay Harrison,30.0,47.0,15:35:40,CAR
2013,Jan Hejda,34.0,46.0,15:06:10,COL
2013,Niklas Hjalmarsson,25.0,46.0,16:01:45,CHI
2013,Dwight King,23.0,47.0,09:59:32,LAK
2013,Filip Kuba,36.0,44.0,15:33:50,FLA
2013,Dmitry Kulikov,22.0,34.0,11:53:12,FLA
2013,Maxim Lapierre,27.0,48.0,10:04:35,VAN
2013,Guillaume Latendresse,25.0,27.0,06:39:37,OTT
2013,Ben Lovejoy,28.0,35.0,10:23:55,2TM
2013,Ben Lovejoy,28.0,3.0,00:40:49,PIT
2013,Ben Lovejoy,28.0,32.0,09:43:06,ANA
2013,Clayton Stoner,27.0,48.0,14:34:18,MIN
2013,Maxime Talbot,28.0,35.0,09:00:07,PHI
2013,T.J. Brennan,23.0,29.0,08:03:58,2TM
2013,T.J. Brennan,23.0,10.0,02:28:07,BUF
2013,T.J. Brennan,23.0,19.0,05:35:51,FLA
2013,Jordan Leopold,32.0,39.0,13:02:50,2TM
2013,Jordan Leopold,32.0,24.0,08:27:14,BUF
2013,Jordan Leopold,32.0,15.0,04:35:36,STL
2013,Craig Adams,35.0,48.0,08:55:46,PIT
2013,Francis Bouillon,37.0,48.0,14:27:39,MTL
2013,Rich Clune,25.0,47.0,07:22:04,NSH
2013,Derek Dorsett,26.0,24.0,06:23:45,CBJ
2013,Tim Gleason,30.0,42.0,13:41:50,CAR
2013,Josh Gorges,28.0,48.0,17:06:37,MTL
2013,Jack Hillen,27.0,23.0,06:45:05,WSH
2013,David Jones,28.0,33.0,09:15:06,COL
2013,Chris Kelly,32.0,34.0,08:28:58,BOS
2013,Chuck Kobasew,30.0,37.0,06:56:59,COL
2013,Leo Komarov,26.0,42.0,09:45:18,TOR
2013,Riley Nash,23.0,32.0,06:49:37,CAR
2013,Nikita Nikitin,26.0,38.0,13:25:30,CBJ
2013,Steven Oleksy,26.0,28.0,08:03:30,WSH
2013,Aaron Palushaj,23.0,25.0,04:42:53,COL
2013,Richard Pánik,21.0,25.0,04:43:13,TBL
2013,Lennart Petrell,28.0,35.0,06:43:35,EDM
2013,Joni Pitkänen,29.0,22.0,08:21:59,CAR
2013,Kevin Porter,26.0,31.0,07:52:05,BUF
2013,Paul Postma,23.0,34.0,08:30:58,WPG
2013,Tuomo Ruutu,29.0,17.0,04:19:04,CAR
2013,Jordan Schroeder,22.0,31.0,07:05:06,VAN
2013,Nick Schultz,30.0,48.0,14:54:21,EDM
2013,Reilly Smith,21.0,37.0,06:43:56,DAL
2013,Michael Stone,22.0,40.0,11:07:28,PHX
2013,Mike Weaver,34.0,27.0,09:03:44,FLA
2013,Wojtek Wolski,26.0,27.0,06:00:27,WSH
2013,Dainius Zubrus,34.0,22.0,06:09:16,NJD
2013,Alexei Ponikarovsky,32.0,42.0,09:12:40,2TM
